Complexity,Loss,Equation
1,0.4491107550974444,"x0"
2,0.016211136127289142,"1.1483926592631954"
4,0.012448325644234386,"exp(x0) - x0"
5,0.0013649831277010146,"exp(x0 * 0.2971779711591785)"
6,0.00023839041814818898,"exp(square(x0 * 0.6122716607170262))"
7,9.465512107727967e-5,"x0 + exp(x0 * -0.933660498796546)"
8,3.291374950732492e-5,"(square(x0) * 0.4221129908501205) + 1.006977701048936"
10,3.266077455863741e-5,"(exp(x0) * (x0 * 0.1626941262689795)) + 0.9851081560577621"
12,6.456661242873513e-6,"(x0 * ((x0 * 0.35664906594196427) + 0.0699150176169711)) + 0.9939517091706963"
13,1.404893132972092e-7,"exp(x0 * ((x0 * 0.5459582547339005) - (square(x0) * 0.1994638368376875)))"
14,1.4048271107744638e-7,"exp((x0 * 0.5459331563050236) * (x0 - ((x0 * x0) * 0.3653061450162445)))"
15,1.404827110752594e-7,"cube(exp(((x0 - (x0 * (x0 * 0.36530612945390417))) * 0.18197771450850975) * x0))"
17,3.388656738390064e-8,"exp(((x0 - 0.009268425773419771) * 0.5589526293653533) * (x0 - (x0 * (x0 * 0.3749979269577372))))"
20,3.38779491633706e-8,"exp(8.226267209515679e-6 - (((0.009327532149839817 - x0) * (x0 - (x0 * (x0 * 0.374996132303195)))) * 0.558973750149737))"
24,5.331454670208475e-9,"cube(exp((x0 * 0.16635017217337011) * (x0 - (((x0 - (x0 * (x0 * 0.43662074100483755))) * (x0 * x0)) * 0.5416697542436402))))"
41,3.507223508626418e-9,"exp(exp(((((x0 - x0) - (0.9369326814269251 - x0)) - square(x0)) - ((x0 - square(x0)) + 2.2019614035459276)) * (cube(x0) * -0.06117150020220179)) * (x0 * (x0 * (exp(square(x0) * -0.5606714199557814) * 0.5013523339403071))))"
